fit_date,training_start,training_end,observations,scaler_mean,scaler_scale,lambda,objective_180,centers,active_state_count,collapsed_to_one_state,objective_60,delta,changed
2010-07-01,1998-09-10,2010-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2989.692596519831,"[[0.21555764248801013, 0.2024396730495101, 0.28246185963517073], [2.924982345404416, -0.8803693623010462, -1.146584005541151]]",2,False,2989.692596519831,0.0,False
2010-07-01,1998-09-10,2010-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3099.6925965198316,"[[0.21555764248801013, 0.2024396730495101, 0.28246185963517073], [2.924982345404416, -0.8803693623010462, -1.146584005541151]]",2,False,3099.692596519832,-4.547473508864641e-13,False
2011-01-03,1999-03-17,2011-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2832.295885889365,"[[0.1554733116390837, 0.22407211926348594, 0.3029854083465319], [2.8662402842673433, -0.9168490272610775, -1.2195249898356486]]",2,False,2832.295885889365,0.0,False
2011-01-03,1999-03-17,2011-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2864.0263063613916,"[[0.1554733116390837, 0.22407211926348594, 0.3029854083465319], [2.8662402842673433, -0.9168490272610775, -1.2195249898356486]]",2,False,2864.026306361392,-4.547473508864641e-13,False
2011-01-03,1999-03-17,2011-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2941.7036959291736,"[[0.0228138188213199, 0.3743239704918882, 0.5266320222504842], [1.824130474689893, -0.663993690844019, -0.9276289082712783]]",2,False,2941.7036959291736,0.0,False
2011-07-01,1999-09-17,2011-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2839.6565156625825,"[[0.11543802606490916, 0.2296529194306052, 0.33057681903233477], [2.8635394102429372, -0.9154266436723186, -1.218467583060088]]",2,False,2839.6565156625825,0.0,False
2011-07-01,1999-09-17,2011-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2871.1313550817467,"[[0.023079546194950708, 0.31556140130059374, 0.4613300535612225], [2.187120711631531, -0.7648874627724008, -1.0550732870006838]]",2,False,2871.386936134611,-0.25558105286427235,True
2011-07-01,1999-09-17,2011-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2918.3265050043037,"[[-0.02700364724783217, 0.38094540455233966, 0.5608627074985322], [1.823615273716463, -0.6627199171446382, -0.926938696552067]]",2,False,2918.326505004304,-4.547473508864641e-13,False
2012-01-02,2000-03-21,2012-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2722.662746343768,"[[0.04103934538786903, 0.20482239894718526, 0.3334854253665728], [2.5200912721258764, -0.8097158547261967, -1.0953649586471905]]",2,False,2722.662746343768,0.0,False
2012-01-02,2000-03-21,2012-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2756.5521683629686,"[[-0.003684734607436504, 0.261403583368389, 0.42125319686332807], [2.182275244985767, -0.7602175181171571, -1.044387455584119]]",2,False,2756.5521683629686,0.0,False
2012-01-02,2000-03-21,2012-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2829.297964781845,"[[-0.05964472362921113, 0.323831061582438, 0.5216104333897432], [1.8563407889870356, -0.6688659092710748, -0.9314823810800852]]",2,False,2829.297964781845,0.0,False
2012-07-02,2000-09-19,2012-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2705.8290789958623,"[[-0.08116468616742978, 0.34252729685554345, 0.47030753607479203], [1.9970412412607645, -0.7264007573016672, -0.9809294080154208]]",2,False,2705.8290789958623,0.0,False
2012-07-02,2000-09-19,2012-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2734.3864574206873,"[[-0.08116468616742978, 0.34252729685554345, 0.47030753607479203], [1.9970412412607645, -0.7264007573016672, -0.9809294080154208]]",2,False,2734.3864574206877,-4.547473508864641e-13,False
2012-07-02,2000-09-19,2012-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2795.6130077570638,"[[-0.09285620595786653, 0.3568359090572174, 0.5070509063116773], [1.8586058141649682, -0.6691798371337077, -0.9324357875215862]]",2,False,2795.613007757064,-4.547473508864641e-13,False
2013-01-02,2001-03-21,2013-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2545.1293150906,"[[0.0064605635926000314, 0.2614897258222039, 0.3351104613461509], [2.7702426416394883, -0.8449466815907523, -1.1575427515183117]]",2,False,2545.1293150906,0.0,False
2013-01-02,2001-03-21,2013-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2580.032777609829,"[[0.0064605635926000314, 0.2614897258222039, 0.3351104613461509], [2.7702426416394883, -0.8449466815907523, -1.1575427515183117]]",2,False,2580.032777609829,0.0,False
2013-01-02,2001-03-21,2013-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2690.0327776098275,"[[0.0064605635926000314, 0.2614897258222039, 0.3351104613461509], [2.7702426416394883, -0.8449466815907523, -1.1575427515183117]]",2,False,2690.0327776098275,0.0,False
2013-07-01,2001-09-17,2013-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2397.754559997822,"[[-0.024296549800466992, 0.2889206421522221, 0.38380323220179585], [2.8323560018798526, -0.8120927106525845, -1.1386806166454728]]",2,False,2397.754559997822,0.0,False
2013-07-01,2001-09-17,2013-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2426.311938422646,"[[-0.024296549800466992, 0.2889206421522221, 0.38380323220179585], [2.8323560018798526, -0.8120927106525845, -1.1386806166454728]]",2,False,2426.311938422646,0.0,False
2013-07-01,2001-09-17,2013-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2516.311938422647,"[[-0.024296549800466992, 0.2889206421522221, 0.38380323220179585], [2.8323560018798526, -0.8120927106525845, -1.1386806166454728]]",2,False,2516.311938422647,0.0,False
2014-01-02,2002-03-21,2014-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2325.0369443592003,"[[-0.08497930172910716, 0.31986988497018093, 0.4332154513886856], [2.7719282334792275, -0.8199689851849763, -1.1223815414121905]]",2,False,2325.0369443592003,0.0,False
