market,fit_date,lambda,jumps,objective,shifts_per_year
de,1982-07-01,90.0,6,3035.0818564712977,0.504
de,1982-07-01,185.0,2,3241.5866296910485,0.16799999999999998
de,1983-01-03,0.55,76,1839.744195436679,6.3839999999999995
de,1983-01-03,2.829145724599095,44,1970.2147631289643,3.6959999999999997
de,1983-01-03,8.59842836500576,28,2165.4726422673466,2.352
de,1983-01-03,23.5,14,2440.815184859563,1.176
de,1983-01-03,90.0,7,3050.1146528956792,0.588
de,1983-01-03,185.0,2,3279.047820680917,0.16799999999999998
de,1983-07-01,0.55,78,2049.472505721156,6.552
de,1983-07-01,2.829145724599095,46,2170.503506976503,3.864
de,1983-07-01,8.59842836500576,22,2360.4284182300958,1.8479999999999999
de,1983-07-01,23.5,14,2608.606350823823,1.176
de,1983-07-01,90.0,7,3230.748025476734,0.588
de,1983-07-01,185.0,3,3575.0396386812376,0.252
de,1984-01-02,0.55,80,2082.6498762770207,6.72
de,1984-01-02,2.829145724599095,42,2198.0327839991114,3.528
de,1984-01-02,8.59842836500576,20,2375.951433357338,1.68
de,1984-01-02,23.5,10,2583.5904994167217,0.84
de,1984-01-02,90.0,6,3129.298781764009,0.504
de,1984-01-02,185.0,4,3533.5276950054777,0.33599999999999997
de,1984-07-02,0.55,80,2054.1353930087566,6.72
de,1984-07-02,2.829145724599095,42,2171.1577725671673,3.528
de,1984-07-02,8.59842836500576,20,2352.2577272948733,1.68
de,1984-07-02,23.5,11,2577.6663331757136,0.9239999999999999
de,1984-07-02,90.0,6,3133.3992030777454,0.504
de,1984-07-02,185.0,3,3503.343808833365,0.252
de,1985-01-02,0.55,79,2048.888714268081,6.636
de,1985-01-02,2.829145724599095,42,2160.9431600555286,3.528
de,1985-01-02,8.59842836500576,20,2330.308148632835,1.68
de,1985-01-02,23.5,13,2560.9414822822755,1.0919999999999999
de,1985-01-02,90.0,6,3166.823503710168,0.504
de,1985-01-02,185.0,1,3436.419847257203,0.08399999999999999
de,1985-07-01,0.55,59,2039.5793058444672,4.9559999999999995
de,1985-07-01,2.829145724599095,37,2136.8383404014207,3.108
de,1985-07-01,8.59842836500576,19,2303.1452500403207,1.5959999999999999
de,1985-07-01,23.5,11,2524.34816162473,0.9239999999999999
de,1985-07-01,90.0,7,3140.8017315639154,0.588
de,1985-07-01,185.0,1,3519.1755949283465,0.08399999999999999
de,1986-01-02,0.55,71,2060.3730961146202,5.9639999999999995
de,1986-01-02,2.829145724599095,35,2161.3801644532505,2.94
de,1986-01-02,8.59842836500576,21,2332.697616626562,1.764
de,1986-01-02,23.5,11,2544.698242134982,0.9239999999999999
de,1986-01-02,90.0,5,3066.184000122559,0.42
de,1986-01-02,185.0,3,3442.0479502631897,0.252
de,1986-07-01,0.55,76,2347.099236731508,6.3839999999999995
de,1986-07-01,2.829145724599095,38,2456.6351507270006,3.1919999999999997
de,1986-07-01,8.59842836500576,26,2630.5202254736473,2.1839999999999997
de,1986-07-01,23.5,12,2858.17896632494,1.008
de,1986-07-01,90.0,5,3365.4026985854434,0.42
de,1986-07-01,185.0,2,3685.768643859041,0.16799999999999998
de,1987-01-02,0.55,79,2569.299718789254,6.636
de,1987-01-02,2.829145724599095,37,2681.284061491944,3.108
de,1987-01-02,8.59842836500576,25,2853.1144801242644,2.1
de,1987-01-02,23.5,11,3072.9534649884195,0.9239999999999999
de,1987-01-02,90.0,5,3553.377523323366,0.42
de,1987-01-02,185.0,2,3813.4308888194932,0.16799999999999998
de,1987-07-01,0.55,68,2707.0264304060897,5.712
de,1987-07-01,2.829145724599095,35,2809.9496641183123,2.94
de,1987-07-01,8.59842836500576,19,2979.522860200422,1.5959999999999999
de,1987-07-01,23.5,11,3180.162343518013,0.9239999999999999
de,1987-07-01,90.0,5,3713.761750136666,0.42
de,1987-07-01,185.0,1,3949.4293118876026,0.08399999999999999
de,1988-01-04,0.55,77,4115.021525360686,6.468
de,1988-01-04,2.829145724599095,17,4231.08535890861,1.428
de,1988-01-04,8.59842836500576,11,4297.223591635991,0.9239999999999999
de,1988-01-04,23.5,5,4394.462467535578,0.42
de,1988-01-04,90.0,1,4663.070769836852,0.08399999999999999
de,1988-01-04,185.0,1,4758.070769836852,0.08399999999999999
de,1988-07-01,0.55,26,4177.925937801591,2.1839999999999997
de,1988-07-01,2.829145724599095,14,4222.577929225636,1.176
de,1988-07-01,8.59842836500576,12,4292.195377868397,1.008
de,1988-07-01,23.5,6,4401.385890424054,0.504
de,1988-07-01,90.0,2,4803.112398470971,0.16799999999999998
de,1988-07-01,185.0,2,4993.112398470971,0.16799999999999998
de,1989-01-02,0.55,24,4108.848407536013,2.016
de,1989-01-02,2.829145724599095,14,4153.921245722258,1.176
de,1989-01-02,8.59842836500576,12,4223.929018196167,1.008
de,1989-01-02,23.5,6,4335.471700189454,0.504
de,1989-01-02,90.0,6,4735.743929588349,0.504
de,1989-01-02,185.0,2,4934.619270720296,0.16799999999999998
de,1989-07-03,0.55,24,4050.5412436588267,2.016
de,1989-07-03,2.829145724599095,16,4095.0935212422446,1.3439999999999999
de,1989-07-03,8.59842836500576,10,4162.656356554611,0.84
de,1989-07-03,23.5,6,4268.97531967379,0.504
de,1989-07-03,90.0,4,4633.55078172492,0.33599999999999997
de,1989-07-03,185.0,2,4860.822559580593,0.16799999999999998
jp,1981-12-09,0.55,63,1441.382956342181,5.292
jp,1981-12-09,2.829145724599095,41,1555.4555564373952,3.444
jp,1981-12-09,8.59842836500576,19,1723.052269358173,1.5959999999999999
jp,1981-12-09,17.5,13,1877.7499592069819,1.0919999999999999
jp,1981-12-09,45.0,7,2138.3406094507923,0.588
jp,1981-12-09,75.0,2,2305.101086804752,0.16799999999999998
jp,1982-01-04,0.55,63,1446.2394387307315,5.292
jp,1982-01-04,2.829145724599095,41,1561.7529726610287,3.444
jp,1982-01-04,8.59842836500576,20,1728.5336660224193,1.68
jp,1982-01-04,17.5,13,1884.0864302539794,1.0919999999999999
jp,1982-01-04,45.0,7,2143.2398278977143,0.588
jp,1982-01-04,75.0,2,2296.604356784168,0.16799999999999998
jp,1982-07-01,0.55,62,1435.576920865265,5.208
jp,1982-07-01,2.829145724599095,38,1545.8216460581705,3.1919999999999997
jp,1982-07-01,8.59842836500576,22,1705.7241621404562,1.8479999999999999
jp,1982-07-01,17.5,12,1842.1746895318677,1.008
